"","zip","sdi_decile"
"915","04068",4
"916","04069",1
"917","04071",1
"918","04072",3
"919","04073",7
"920","04074",1
"921","04076",1
"922","04079",2
"923","04083",4
"924","04084",1
"925","04085",3
"926","04086",2
"927","04087",1
"928","04088",3
"929","04090",3
"930","04091",4
"931","04092",6
"932","04093",2
"933","04095",2
"934","04096",1
"935","04097",1
"936","04101",9
"937","04102",6
"938","04103",5
"939","04105",1
"940","04106",4
"941","04107",1
"942","04108",1
"943","04109",4
"944","04110",1
"945","04210",6
"946","04216",3
"947","04217",5
"948","04219",3
"949","04220",2
"950","04221",6
"951","04222",1
"952","04224",8
"953","04226",3
"954","04227",1
"955","04228",NA
"956","04231",4
"957","04234",1
"958","04236",1
"959","04237",1
"960","04238",4
"961","04239",3
"962","04240",8
"963","04250",5
"964","04252",2
"965","04253",3
"966","04254",8
"967","04255",2
"968","04256",4
"969","04257",2
"970","04258",1
"971","04259",6
"972","04260",2
"973","04261",2
"974","04263",3
"975","04265",2
"976","04267",1
"977","04268",6
"978","04270",7
"979","04271",NA
"980","04274",1
"981","04275",3
"982","04276",5
"983","04280",4
"984","04281",6
"985","04282",2
"986","04284",2
"987","04285",2
"988","04286",3
"989","04287",2
"990","04289",6
"991","04290",1
"992","04292",4
"993","04294",2
"994","04330",7
"995","04342",2
"996","04343",NA
"997","04344",5
"998","04345",6
"999","04346",7
"1000","04347",6
"1001","04348",2
"1002","04349",2
"1003","04350",2
"1004","04351",1
"1005","04352",2
"1006","04353",6
"1007","04354",2
"1008","04355",2
"1009","04357",5
"1010","04358",2
"1011","04359",4
"1012","04360",1
"1013","04363",3
"1014","04364",3
"1015","04401",7
"1016","04406",4
"1017","04408",1
"1018","04410",4
"1019","04411",1
"1020","04412",6
"1021","04413",7
"1022","04414",4
"1023","04415",7
"1024","04416",5
"1025","04417",6
"1026","04418",6
"1027","04419",1
"1028","04421",5
"1029","04422",2
"1030","04424",6
"1031","04426",5
"1032","04427",4
"1033","04428",3
"1034","04429",2
"1035","04430",7
"1036","04431",NA
"1037","04434",3
"1038","04435",6
"1039","04438",6
"1040","04441",5
"1041","04442",NA
"1042","04443",7
"1043","04444",1
"1044","04448",6
"1045","04449",5
"1046","04450",4
"1047","04451",5
"1048","04453",8
"1049","04454",NA
"1050","04455",5
"1051","04456",2
"1052","04457",8
"1053","04459",8
"1054","04460",6
"1055","04461",5
"1056","04462",6
"1057","04463",8
"1058","04464",7
"1059","04468",8
"1060","04469",1
"1061","04471",6
"1062","04472",2
"1063","04473",7
"1064","04474",1
"1065","04475",4
"1066","04476",3
"1067","04478",4
"1068","04479",7
"1069","04481",3
"1070","04485",5
"1071","04487",6
"1072","04488",4
"1073","04489",4
"1074","04490",1
