"model","time","sex","outcome","term","coefficient"
"base","30yr","female","ascvd","bmi_lt_30",0
"base","30yr","male","ascvd","bmi_lt_30",0
"base","30yr","female","heart_failure","bmi_lt_30",0.0594874
"base","30yr","male","heart_failure","bmi_lt_30",0.0833107
"base","30yr","female","chd","bmi_lt_30",0
"base","30yr","male","chd","bmi_lt_30",0
"base","30yr","female","stroke","bmi_lt_30",0
"base","30yr","male","stroke","bmi_lt_30",0
"base","30yr","female","total_cvd","bmi_gte_30",0
"base","30yr","male","total_cvd","bmi_gte_30",0
"base","30yr","female","ascvd","bmi_gte_30",0
"base","30yr","male","ascvd","bmi_gte_30",0
"base","30yr","female","heart_failure","bmi_gte_30",0.2525536
"base","30yr","male","heart_failure","bmi_gte_30",0.26999
"base","30yr","female","chd","bmi_gte_30",0
"base","30yr","male","chd","bmi_gte_30",0
"base","30yr","female","stroke","bmi_gte_30",0
"base","30yr","male","stroke","bmi_gte_30",0
"base","30yr","female","total_cvd","egfr_lt_60",0.1857101
"base","30yr","male","total_cvd","egfr_lt_60",0.1155556
"base","30yr","female","ascvd","egfr_lt_60",0.100106
"base","30yr","male","ascvd","egfr_lt_60",-0.0218789
"base","30yr","female","heart_failure","egfr_lt_60",0.2981642
"base","30yr","male","heart_failure","egfr_lt_60",0.2541805
"base","30yr","female","chd","egfr_lt_60",0.1252615
"base","30yr","male","chd","egfr_lt_60",-0.0091955
"base","30yr","female","stroke","egfr_lt_60",0.0765812
"base","30yr","male","stroke","egfr_lt_60",-0.0009216
"base","30yr","female","total_cvd","egfr_gte_60",0.0553528
"base","30yr","male","total_cvd","egfr_gte_60",0.0603775
"base","30yr","female","ascvd","egfr_gte_60",0.0499663
"base","30yr","male","ascvd","egfr_gte_60",0.0602553
"base","30yr","female","heart_failure","egfr_gte_60",0.0667159
"base","30yr","male","heart_failure","egfr_gte_60",0.0638923
"base","30yr","female","chd","egfr_gte_60",0.0414579
"base","30yr","male","chd","egfr_gte_60",0.0578155
"base","30yr","female","stroke","egfr_gte_60",0.0603226
"base","30yr","male","stroke","egfr_gte_60",0.0575221
"base","30yr","female","total_cvd","bp_tx",0.2894
"base","30yr","male","total_cvd","bp_tx",0.232714
"base","30yr","female","ascvd","bp_tx",0.1875292
"base","30yr","male","ascvd","bp_tx",0.1421182
"base","30yr","female","heart_failure","bp_tx",0.333921
"base","30yr","male","heart_failure","bp_tx",0.2583631
"base","30yr","female","chd","bp_tx",0.1561303
"base","30yr","male","chd","bp_tx",0.0939196
"base","30yr","female","stroke","bp_tx",0.2087816
"base","30yr","male","stroke","bp_tx",0.1685514
"base","30yr","female","total_cvd","statin",-0.075688
"base","30yr","male","total_cvd","statin",-0.0272112
"base","30yr","female","ascvd","statin",0.0152476
"base","30yr","male","ascvd","statin",0.0135996
"base","30yr","female","heart_failure","statin",0
"base","30yr","male","heart_failure","statin",0
"base","30yr","female","chd","statin",0.0384138
"base","30yr","male","chd","statin",0.0508921
"base","30yr","female","stroke","statin",-0.0095137
"base","30yr","male","stroke","statin",-0.020829
"base","30yr","female","total_cvd","bp_tx_sbp_gte_110",-0.056367
"base","30yr","male","total_cvd","bp_tx_sbp_gte_110",-0.0384488
"base","30yr","female","ascvd","bp_tx_sbp_gte_110",-0.0276123
"base","30yr","male","ascvd","bp_tx_sbp_gte_110",-0.0218265
"base","30yr","female","heart_failure","bp_tx_sbp_gte_110",-0.0893177
"base","30yr","male","heart_failure","bp_tx_sbp_gte_110",-0.0391938
"base","30yr","female","chd","bp_tx_sbp_gte_110",-0.0795531
"base","30yr","male","chd","bp_tx_sbp_gte_110",-0.0486024
"base","30yr","female","stroke","bp_tx_sbp_gte_110",0.0014436
"base","30yr","male","stroke","bp_tx_sbp_gte_110",0.0230042
"base","30yr","female","total_cvd","statin_non_hdl_c",0.1071019
"base","30yr","male","total_cvd","statin_non_hdl_c",0.134192
"base","30yr","female","ascvd","statin_non_hdl_c",0.0736147
"base","30yr","male","ascvd","statin_non_hdl_c",0.1013148
"base","30yr","female","heart_failure","statin_non_hdl_c",0
"base","30yr","male","heart_failure","statin_non_hdl_c",0
"base","30yr","female","chd","statin_non_hdl_c",0.0635262
"base","30yr","male","chd","statin_non_hdl_c",0.0669478
"base","30yr","female","stroke","statin_non_hdl_c",0.0720012
"base","30yr","male","stroke","statin_non_hdl_c",0.1413652
"base","30yr","female","total_cvd","age_non_hdl_c",-0.0751438
"base","30yr","male","total_cvd","age_non_hdl_c",-0.0511759
"base","30yr","female","ascvd","age_non_hdl_c",-0.0521962
"base","30yr","male","ascvd","age_non_hdl_c",-0.0312619
"base","30yr","female","heart_failure","age_non_hdl_c",0
"base","30yr","male","heart_failure","age_non_hdl_c",0
"base","30yr","female","chd","age_non_hdl_c",-0.0637665
"base","30yr","male","chd","age_non_hdl_c",-0.0533361
"base","30yr","female","stroke","age_non_hdl_c",-0.0361779
"base","30yr","male","stroke","age_non_hdl_c",0.0145411
"base","30yr","female","total_cvd","age_hdl_c",0.0301786
"base","30yr","male","total_cvd","age_hdl_c",0.0165865
"base","30yr","female","ascvd","age_hdl_c",0.0316918
"base","30yr","male","ascvd","age_hdl_c",0.020673
"base","30yr","female","heart_failure","age_hdl_c",0
"base","30yr","male","heart_failure","age_hdl_c",0
"base","30yr","female","chd","age_hdl_c",0.0474074
"base","30yr","male","chd","age_hdl_c",0.0461425
"base","30yr","female","stroke","age_hdl_c",0.015888
"base","30yr","male","stroke","age_hdl_c",-0.0149606
"base","30yr","female","total_cvd","age_sbp_gte_110",-0.0998776
"base","30yr","male","total_cvd","age_sbp_gte_110",-0.1101437
"base","30yr","female","ascvd","age_sbp_gte_110",-0.1046101
"base","30yr","male","ascvd","age_sbp_gte_110",-0.0920935
"base","30yr","female","heart_failure","age_sbp_gte_110",-0.0974299
"base","30yr","male","heart_failure","age_sbp_gte_110",-0.1269124
"base","30yr","female","chd","age_sbp_gte_110",-0.0876484
"base","30yr","male","chd","age_sbp_gte_110",-0.0812234
"base","30yr","female","stroke","age_sbp_gte_110",-0.1179062
"base","30yr","male","stroke","age_sbp_gte_110",-0.1118468
"base","30yr","female","total_cvd","age_dm",-0.3206166
"base","30yr","male","total_cvd","age_dm",-0.2585943
"base","30yr","female","ascvd","age_dm",-0.2727793
"base","30yr","male","ascvd","age_dm",-0.2159947
"base","30yr","female","heart_failure","age_dm",-0.404855
"base","30yr","male","heart_failure","age_dm",-0.3273572
"base","30yr","female","chd","age_dm",-0.2803099
"base","30yr","male","chd","age_dm",-0.216315
"base","30yr","female","stroke","age_dm",-0.2710221
